,AAPL,CVX,JNJ,KO,MSFT,NVDA,PG,SPY,UNH,XOM
AAPL,1.0,0.3445958971962956,0.3256089948705017,0.3906093395738812,0.7091339125971998,0.5786152522922894,0.39814172366633027,0.7839174295827646,0.3212306032625027,0.29119262316932426
CVX,0.3445958971962956,1.0,0.34517444115710094,0.42043364371853903,0.3219890178706857,0.25248631150415146,0.24350207273421648,0.5790149935920665,0.359393818039779,0.8556105080852552
JNJ,0.3256089948705017,0.34517444115710094,1.0,0.5635380952031797,0.303124217144266,0.08333031406819426,0.5919189139346412,0.44613571036566596,0.41232701074764394,0.28377326384180573
KO,0.3906093395738812,0.42043364371853903,0.5635380952031797,1.0,0.367508412545446,0.1552566421972919,0.6466656532184383,0.5566305497404823,0.38497369286079475,0.39684244973047983
MSFT,0.7091339125971998,0.3219890178706857,0.303124217144266,0.367508412545446,1.0,0.6756774483013598,0.39162074166962174,0.803245966677667,0.34228504672968896,0.23595821284674762
NVDA,0.5786152522922894,0.25248631150415146,0.08333031406819426,0.1552566421972919,0.6756774483013598,1.0,0.17124609702412208,0.7016129246923094,0.21736145522505787,0.17896499894550918
PG,0.39814172366633027,0.24350207273421648,0.5919189139346412,0.6466656532184383,0.39162074166962174,0.17124609702412208,1.0,0.496286153821366,0.37336325957927735,0.2233731582412631
SPY,0.7839174295827646,0.5790149935920665,0.44613571036566596,0.5566305497404823,0.803245966677667,0.7016129246923094,0.496286153821366,1.0,0.463570024268809,0.5050264129086919
UNH,0.3212306032625027,0.359393818039779,0.41232701074764394,0.38497369286079475,0.34228504672968896,0.21736145522505787,0.37336325957927735,0.463570024268809,1.0,0.2819227303862474
XOM,0.29119262316932426,0.8556105080852552,0.28377326384180573,0.39684244973047983,0.23595821284674762,0.17896499894550918,0.2233731582412631,0.5050264129086919,0.2819227303862474,1.0
