,ann_return,ann_vol,sharpe
NVDA,0.7179114597503443,0.5320142741482241,1.3494214246408125
AAPL,0.2725167463285212,0.3181924568480536,0.8564525665630599
MSFT,0.23814454678991787,0.29554855517726425,0.8057713110696259
SPY,0.1615553376346465,0.20752456666603106,0.7784877724603914
XOM,0.1899393957717124,0.32818273337752496,0.5787610878151095
JNJ,0.10592520405414076,0.19658680248889854,0.5388215420011344
KO,0.09204715620615839,0.20294048617558352,0.4535672400356795
CVX,0.14092170108712102,0.33966548458358164,0.4148837826719021
PG,0.07213290269540575,0.20611688971384368,0.34996114484140206
UNH,0.09483359451374382,0.33453253140071787,0.2834809341760187
